frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:05:05.682951000 UTC","172.28.0.2","60","23.79.38.25","6","56346","443","0","0x0002"
"2","Mar 21, 2024 18:05:05.694387000 UTC","23.79.38.25","60","172.28.0.2","6","443","56346","1","0x0012"
"3","Mar 21, 2024 18:05:05.694630000 UTC","172.28.0.2","52","23.79.38.25","6","56346","443","1","0x0010"
"4","Mar 21, 2024 18:05:05.697409000 UTC","172.28.0.2","569","23.79.38.25","6","56346","443","1","0x0018"
"5","Mar 21, 2024 18:05:05.708499000 UTC","23.79.38.25","52","172.28.0.2","6","443","56346","518","0x0010"
"6","Mar 21, 2024 18:05:05.708995000 UTC","23.79.38.25","2948","172.28.0.2","6","443","56346","518","0x0018"
"7","Mar 21, 2024 18:05:05.709116000 UTC","172.28.0.2","52","23.79.38.25","6","56346","443","2897","0x0010"
"8","Mar 21, 2024 18:05:05.709008000 UTC","23.79.38.25","1252","172.28.0.2","6","443","56346","518","0x0018"
"9","Mar 21, 2024 18:05:05.709198000 UTC","172.28.0.2","52","23.79.38.25","6","56346","443","4097","0x0010"
"10","Mar 21, 2024 18:05:05.710337000 UTC","23.79.38.25","1395","172.28.0.2","6","443","56346","518","0x0018"
"11","Mar 21, 2024 18:05:05.710443000 UTC","172.28.0.2","52","23.79.38.25","6","56346","443","5440","0x0010"
"12","Mar 21, 2024 18:05:05.713748000 UTC","172.28.0.2","178","23.79.38.25","6","56346","443","5440","0x0018"
"13","Mar 21, 2024 18:05:05.725077000 UTC","23.79.38.25","103","172.28.0.2","6","443","56346","644","0x0018"
"14","Mar 21, 2024 18:05:05.725844000 UTC","172.28.0.2","105","23.79.38.25","6","56346","443","5491","0x0018"
"15","Mar 21, 2024 18:05:05.726116000 UTC","172.28.0.2","108","23.79.38.25","6","56346","443","5491","0x0018"
"16","Mar 21, 2024 18:05:05.726182000 UTC","172.28.0.2","94","23.79.38.25","6","56346","443","5491","0x0018"
"17","Mar 21, 2024 18:05:05.726275000 UTC","172.28.0.2","123","23.79.38.25","6","56346","443","5491","0x0018"
"18","Mar 21, 2024 18:05:05.744023000 UTC","23.79.38.25","52","172.28.0.2","6","443","56346","866","0x0010"
"19","Mar 21, 2024 18:05:05.746698000 UTC","23.79.38.25","120","172.28.0.2","6","443","56346","866","0x0018"
"20","Mar 21, 2024 18:05:05.746700000 UTC","23.79.38.25","90","172.28.0.2","6","443","56346","866","0x0018"
"21","Mar 21, 2024 18:05:05.746701000 UTC","23.79.38.25","602","172.28.0.2","6","443","56346","866","0x0018"
"22","Mar 21, 2024 18:05:05.747042000 UTC","23.79.38.25","358","172.28.0.2","6","443","56346","866","0x0018"
"23","Mar 21, 2024 18:05:05.747202000 UTC","172.28.0.2","90","23.79.38.25","6","56346","443","6453","0x0018"
"24","Mar 21, 2024 18:05:05.748672000 UTC","172.28.0.2","83","23.79.38.25","6","56346","443","6453","0x0018"
"25","Mar 21, 2024 18:05:05.748932000 UTC","172.28.0.2","52","23.79.38.25","6","56346","443","6453","0x0011"
"26","Mar 21, 2024 18:05:05.759829000 UTC","23.79.38.25","52","172.28.0.2","6","443","56346","935","0x0010"
"27","Mar 21, 2024 18:05:05.760146000 UTC","23.79.38.25","83","172.28.0.2","6","443","56346","936","0x0018"
"28","Mar 21, 2024 18:05:05.760214000 UTC","172.28.0.2","40","23.79.38.25","6","56346","443","0","0x0004"
"29","Mar 21, 2024 18:05:05.760148000 UTC","23.79.38.25","52","172.28.0.2","6","443","56346","936","0x0011"
"30","Mar 21, 2024 18:05:05.760292000 UTC","172.28.0.2","40","23.79.38.25","6","56346","443","0","0x0004"
"31","Mar 21, 2024 18:06:28.910862000 UTC","172.28.0.2","60","23.79.38.25","6","58018","443","0","0x0002"
"32","Mar 21, 2024 18:06:28.921854000 UTC","23.79.38.25","60","172.28.0.2","6","443","58018","1","0x0012"
"33","Mar 21, 2024 18:06:28.922084000 UTC","172.28.0.2","52","23.79.38.25","6","58018","443","1","0x0010"
"34","Mar 21, 2024 18:06:28.924874000 UTC","172.28.0.2","569","23.79.38.25","6","58018","443","1","0x0018"
"35","Mar 21, 2024 18:06:28.935813000 UTC","23.79.38.25","52","172.28.0.2","6","443","58018","518","0x0010"
"36","Mar 21, 2024 18:06:28.936109000 UTC","23.79.38.25","2948","172.28.0.2","6","443","58018","518","0x0018"
"37","Mar 21, 2024 18:06:28.936190000 UTC","172.28.0.2","52","23.79.38.25","6","58018","443","2897","0x0010"
"38","Mar 21, 2024 18:06:28.936111000 UTC","23.79.38.25","1252","172.28.0.2","6","443","58018","518","0x0018"
"39","Mar 21, 2024 18:06:28.936270000 UTC","172.28.0.2","52","23.79.38.25","6","58018","443","4097","0x0010"
"40","Mar 21, 2024 18:06:28.937015000 UTC","23.79.38.25","1395","172.28.0.2","6","443","58018","518","0x0018"
"41","Mar 21, 2024 18:06:28.937111000 UTC","172.28.0.2","52","23.79.38.25","6","58018","443","5440","0x0010"
"42","Mar 21, 2024 18:06:28.939170000 UTC","172.28.0.2","178","23.79.38.25","6","58018","443","5440","0x0018"
"43","Mar 21, 2024 18:06:28.950137000 UTC","23.79.38.25","103","172.28.0.2","6","443","58018","644","0x0018"
"44","Mar 21, 2024 18:06:28.950640000 UTC","172.28.0.2","105","23.79.38.25","6","58018","443","5491","0x0018"
"45","Mar 21, 2024 18:06:28.950766000 UTC","172.28.0.2","108","23.79.38.25","6","58018","443","5491","0x0018"
"46","Mar 21, 2024 18:06:28.950831000 UTC","172.28.0.2","94","23.79.38.25","6","58018","443","5491","0x0018"
"47","Mar 21, 2024 18:06:28.950915000 UTC","172.28.0.2","123","23.79.38.25","6","58018","443","5491","0x0018"
"48","Mar 21, 2024 18:06:28.961491000 UTC","23.79.38.25","52","172.28.0.2","6","443","58018","753","0x0010"
"49","Mar 21, 2024 18:06:28.961493000 UTC","23.79.38.25","120","172.28.0.2","6","443","58018","753","0x0018"
"50","Mar 21, 2024 18:06:28.961494000 UTC","23.79.38.25","90","172.28.0.2","6","443","58018","753","0x0018"
"51","Mar 21, 2024 18:06:28.961809000 UTC","23.79.38.25","52","172.28.0.2","6","443","58018","866","0x0010"
"52","Mar 21, 2024 18:06:28.961989000 UTC","172.28.0.2","90","23.79.38.25","6","58018","443","5597","0x0018"
"53","Mar 21, 2024 18:06:28.963552000 UTC","23.79.38.25","602","172.28.0.2","6","443","58018","866","0x0018"
"54","Mar 21, 2024 18:06:28.963554000 UTC","23.79.38.25","358","172.28.0.2","6","443","58018","866","0x0018"
"55","Mar 21, 2024 18:06:28.963872000 UTC","172.28.0.2","52","23.79.38.25","6","58018","443","6453","0x0010"
"56","Mar 21, 2024 18:06:28.964706000 UTC","172.28.0.2","83","23.79.38.25","6","58018","443","6453","0x0018"
"57","Mar 21, 2024 18:06:28.964910000 UTC","172.28.0.2","52","23.79.38.25","6","58018","443","6453","0x0011"
"58","Mar 21, 2024 18:06:28.975491000 UTC","23.79.38.25","52","172.28.0.2","6","443","58018","935","0x0010"
"59","Mar 21, 2024 18:06:28.975726000 UTC","23.79.38.25","83","172.28.0.2","6","443","58018","935","0x0018"
"60","Mar 21, 2024 18:06:28.975838000 UTC","172.28.0.2","40","23.79.38.25","6","58018","443","0","0x0004"
"61","Mar 21, 2024 18:06:28.975728000 UTC","23.79.38.25","52","172.28.0.2","6","443","58018","935","0x0011"
"62","Mar 21, 2024 18:06:28.975932000 UTC","172.28.0.2","40","23.79.38.25","6","58018","443","0","0x0004"
"63","Mar 21, 2024 18:06:28.975729000 UTC","23.79.38.25","52","172.28.0.2","6","443","58018","936","0x0010"
"64","Mar 21, 2024 18:06:28.976010000 UTC","172.28.0.2","40","23.79.38.25","6","58018","443","0","0x0004"
