frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:02:16.218362000 UTC","172.28.0.2","60","23.79.38.25","6","58096","443","0","0x0002"
"2","Mar 21, 2024 18:02:16.229892000 UTC","23.79.38.25","60","172.28.0.2","6","443","58096","1","0x0012"
"3","Mar 21, 2024 18:02:16.230092000 UTC","172.28.0.2","52","23.79.38.25","6","58096","443","1","0x0010"
"4","Mar 21, 2024 18:02:16.233004000 UTC","172.28.0.2","569","23.79.38.25","6","58096","443","1","0x0018"
"5","Mar 21, 2024 18:02:16.243992000 UTC","23.79.38.25","52","172.28.0.2","6","443","58096","518","0x0010"
"6","Mar 21, 2024 18:02:16.244400000 UTC","23.79.38.25","2948","172.28.0.2","6","443","58096","518","0x0018"
"7","Mar 21, 2024 18:02:16.244504000 UTC","172.28.0.2","52","23.79.38.25","6","58096","443","2897","0x0010"
"8","Mar 21, 2024 18:02:16.244402000 UTC","23.79.38.25","1252","172.28.0.2","6","443","58096","518","0x0018"
"9","Mar 21, 2024 18:02:16.244576000 UTC","172.28.0.2","52","23.79.38.25","6","58096","443","4097","0x0010"
"10","Mar 21, 2024 18:02:16.245830000 UTC","23.79.38.25","1395","172.28.0.2","6","443","58096","518","0x0018"
"11","Mar 21, 2024 18:02:16.245941000 UTC","172.28.0.2","52","23.79.38.25","6","58096","443","5440","0x0010"
"12","Mar 21, 2024 18:02:16.248081000 UTC","172.28.0.2","178","23.79.38.25","6","58096","443","5440","0x0018"
"13","Mar 21, 2024 18:02:16.259356000 UTC","23.79.38.25","103","172.28.0.2","6","443","58096","644","0x0018"
"14","Mar 21, 2024 18:02:16.259858000 UTC","172.28.0.2","105","23.79.38.25","6","58096","443","5491","0x0018"
"15","Mar 21, 2024 18:02:16.259963000 UTC","172.28.0.2","108","23.79.38.25","6","58096","443","5491","0x0018"
"16","Mar 21, 2024 18:02:16.260015000 UTC","172.28.0.2","94","23.79.38.25","6","58096","443","5491","0x0018"
"17","Mar 21, 2024 18:02:16.260090000 UTC","172.28.0.2","123","23.79.38.25","6","58096","443","5491","0x0018"
"18","Mar 21, 2024 18:02:16.270856000 UTC","23.79.38.25","52","172.28.0.2","6","443","58096","753","0x0010"
"19","Mar 21, 2024 18:02:16.271047000 UTC","23.79.38.25","120","172.28.0.2","6","443","58096","795","0x0018"
"20","Mar 21, 2024 18:02:16.271048000 UTC","23.79.38.25","90","172.28.0.2","6","443","58096","795","0x0018"
"21","Mar 21, 2024 18:02:16.271254000 UTC","172.28.0.2","90","23.79.38.25","6","58096","443","5597","0x0018"
"22","Mar 21, 2024 18:02:16.273368000 UTC","23.79.38.25","602","172.28.0.2","6","443","58096","866","0x0018"
"23","Mar 21, 2024 18:02:16.273371000 UTC","23.79.38.25","358","172.28.0.2","6","443","58096","866","0x0018"
"24","Mar 21, 2024 18:02:16.273875000 UTC","172.28.0.2","52","23.79.38.25","6","58096","443","6453","0x0010"
"25","Mar 21, 2024 18:02:16.274293000 UTC","172.28.0.2","83","23.79.38.25","6","58096","443","6453","0x0018"
"26","Mar 21, 2024 18:02:16.274836000 UTC","172.28.0.2","52","23.79.38.25","6","58096","443","6453","0x0011"
"27","Mar 21, 2024 18:02:16.285265000 UTC","23.79.38.25","52","172.28.0.2","6","443","58096","935","0x0010"
"28","Mar 21, 2024 18:02:16.285480000 UTC","23.79.38.25","83","172.28.0.2","6","443","58096","935","0x0018"
"29","Mar 21, 2024 18:02:16.285550000 UTC","172.28.0.2","40","23.79.38.25","6","58096","443","0","0x0004"
"30","Mar 21, 2024 18:02:16.285481000 UTC","23.79.38.25","52","172.28.0.2","6","443","58096","935","0x0011"
"31","Mar 21, 2024 18:02:16.285619000 UTC","172.28.0.2","40","23.79.38.25","6","58096","443","0","0x0004"
